fight_id,rd_a,rd_b
b55481006297ba05,350.00,244.00
f32f823658478705,294.13,350.00
ea535b46e0f69ad3,350.00,350.00
8b258bbb37f74a66,350.00,283.79
21aa163b80e504f9,350.00,350.00
8d83354075a937f2,350.00,350.00
74dcccd3d2f487a1,350.00,350.00
1e14e79a477f2357,124.06,350.00
17526cb9fb6072ef,290.32,290.32
a4d8e991ec42b048,350.00,167.20
1d3c1dedfba6eddc,265.44,350.00
635fbf57001897c7,350.00,350.00
35b871e0bdc1415b,350.00,350.00
b6de61e312dbb1db,350.00,304.44
dbdad3eb157703bc,279.92,317.46
07423d10cc23bfeb,250.70,290.43
f85bbc760000f001,350.00,121.79
3261bd16c10e3014,172.15,350.00
c8a04210d832a928,246.45,350.00
0cf7636471fc5e45,290.47,350.00
fb8e8d1a734b6fe8,350.00,350.00
48fccedc8889a473,243.34,290.47
6c15d41df17349c9,243.32,174.46
86090172facd6cf7,276.51,163.97
453118d7f05be814,221.74,350.00
3fc4d9f17be8d003,350.00,253.33
03afd7b6a217aaac,350.00,350.00
9a38c18f00bb8b8e,277.66,350.00
25215e8c06d7d63f,290.35,350.00
997753de17f81e3a,350.00,219.84
b26c2f616c9436fb,263.37,290.47
28f31c3fd7afe737,167.64,280.51
c03d0d781df4ad2a,216.20,214.96
79f9086932f21016,350.00,350.00
3a271d9d9210a818,256.52,350.00
6bb2a427004deecc,350.00,350.00
c892b23ad8f2208b,298.95,350.00
a3fe8217502c42a4,251.85,350.00
99b5010fd25911af,227.87,256.75
73c07530f667289f,297.32,307.83
1db8bed8b4d30fb3,300.05,350.00
c6f8541973f69080,229.31,290.35
693e4a0bed9a1369,350.00,290.72
3e4199f9a69bac88,234.71,350.00
82cf32aea3d7edf3,350.00,350.00
38e3986b7cfff608,238.42,350.00
df8d4014d8206ab1,206.29,350.00
62ac5bff3c181f50,209.93,172.37
a1c1e3c1e9c6cf1e,350.00,350.00
968cd768ac41e6ee,350.00,350.00
d9e86958bcb15c26,350.00,287.04
c6ead49500c047e5,256.30,290.35
c57acf13de48330a,287.28,350.00
eebf672428b168b7,216.89,295.38
96c247ba0eb1ac65,278.72,248.63
b1134affa18449dd,232.73,193.50
ee1950e871aa5cc2,350.00,350.00
a4e592c874e8233f,350.00,273.00
36c929fb1569d4b9,287.05,350.00
2cd6330ef18210b9,350.00,248.71
9c7830c91fad60d8,285.22,290.32
c22545a5881459ac,213.38,215.64
2ab41c5519d0b1b9,259.02,234.42
77f9b97f62f373b0,350.00,350.00
81b0c08f7503e79a,350.00,350.00
cf85523b0d442d35,290.41,350.00
22911cbd32370f6c,350.00,350.00
aca2f98ee112d137,350.00,290.59
17be6e24dafd31e0,350.00,350.00
9f2b94c46b70c6fb,350.00,291.99
cf8fe599f0b44fd5,235.04,350.00
9397493152c0669a,350.00,274.98
f6066d192a16f5ff,220.02,350.00
ba8b1ed5b05a719a,350.00,252.88
b675fb8f413b59e4,350.00,273.74
0adfdf8f563be462,177.97,259.86
85f28a8276a141b6,290.37,350.00
7edac7a0a2f72f28,290.37,350.00
